Field_Number,Field_Name,HTML_Type,Input_Name,Supabase_Column,Data_Type,Required,Default_Value,Category,Generated_By_JS,Mapped_To_DB,Notes
1,other_full_name,Text Input,other_full_name,driver_name,TEXT,Conditional,NULL,Driver Information,No,✅ YES,"Other driver's full name - Required if license plate not provided (lenient validation)"
2,other_contact_number,Tel Input,other_contact_number,driver_phone,TEXT,No,NULL,Driver Information,No,✅ YES,"Other driver's contact number (UK format: 07700 900000)"
3,other_email_address,Email Input,other_email_address,N/A,TEXT,No,NULL,Driver Information,No,❌ NO,"Other driver's email address - UNMAPPED (missing column in incident_other_vehicles)"
4,other_driving_license_number,Text Input,other_driving_license_number,N/A,TEXT,No,NULL,Driver Information,No,❌ NO,"UK driving license number (max 16 chars) - UNMAPPED (missing column in incident_other_vehicles)"
5,other_vehicle_registration,Text Input,other_vehicle_registration,vehicle_license_plate,TEXT,Conditional,NULL,Vehicle Registration,No,✅ YES,"UK license plate (max 8 chars, uppercase) - Required if driver name not provided; triggers DVLA lookup"
6,other_vehicle_look_up_make,Display Field (span),N/A,vehicle_make,TEXT,No,NULL,DVLA Lookup Results,Yes,✅ YES,"Vehicle make from DVLA API response - Displayed after successful lookup"
7,other_vehicle_look_up_model,Display Field (span),N/A,vehicle_model,TEXT,No,NULL,DVLA Lookup Results,Yes,✅ YES,"Vehicle model from DVLA API response - Displayed after successful lookup"
8,other_vehicle_look_up_colour,Display Field (span),N/A,vehicle_color,TEXT,No,NULL,DVLA Lookup Results,Yes,✅ YES,"Vehicle colour from DVLA API response - Displayed after successful lookup"
9,other_vehicle_look_up_year,Display Field (span),N/A,vehicle_year_of_manufacture,INTEGER,No,NULL,DVLA Lookup Results,Yes,✅ YES,"Year of manufacture from DVLA API response - Displayed after successful lookup"
10,other_vehicle_look_up_fuel_type,Display Field (span),N/A,N/A,TEXT,No,NULL,DVLA Lookup Results,Yes,❌ NO,"Fuel type from DVLA API response - UNMAPPED (missing column in incident_other_vehicles)"
11,other_vehicle_look_up_mot_status,Display Field (span),N/A,N/A,TEXT,No,NULL,Vehicle Status,Yes,❌ NO,"MOT status from DVLA (Valid/Invalid/Expired) with badge styling - UNMAPPED (missing column)"
12,other_vehicle_look_up_mot_expiry_date,Display Field (span),N/A,N/A,DATE,No,NULL,Vehicle Status,Yes,❌ NO,"MOT expiry date from DVLA - Triggers warning if expired - UNMAPPED (missing column)"
13,other_vehicle_look_up_tax_status,Display Field (span),N/A,N/A,TEXT,No,NULL,Vehicle Status,Yes,❌ NO,"Tax status from DVLA (Taxed/Untaxed) with badge styling - UNMAPPED (missing column)"
14,other_vehicle_look_up_tax_due_date,Display Field (span),N/A,N/A,DATE,No,NULL,Vehicle Status,Yes,❌ NO,"Tax due date from DVLA - Triggers warning if expired - UNMAPPED (missing column)"
15,other_vehicle_look_up_insurance_status,Display Field (span),N/A,N/A,TEXT,No,Not Available,Vehicle Status,Yes,❌ NO,"Insurance status (BETA - not available from DVLA API) - UNMAPPED"
16,other_drivers_insurance_company,Text Input,other_drivers_insurance_company,insurance_company,TEXT,No,NULL,Insurance Details,No,✅ YES,"Other driver's insurance company (e.g., Aviva, Direct Line) - Recommended field"
17,other_drivers_policy_number,Text Input,other_drivers_policy_number,policy_number,TEXT,No,NULL,Insurance Details,No,✅ YES,"Other driver's insurance policy number - Recommended field"
18,other_drivers_policy_holder_name,Text Input,other_drivers_policy_holder_name,policy_holder,TEXT,No,NULL,Insurance Details,No,✅ YES,"Policy holder name (may differ from driver) - Recommended field"
19,other_drivers_policy_cover_type,Select Dropdown,other_drivers_policy_cover_type,policy_cover,TEXT,No,NULL,Insurance Details,No,✅ YES,"Policy cover type (Comprehensive, Third Party Fire & Theft, Third Party Only, Unknown) - Recommended"
20,no_visible_damage,Checkbox,no_visible_damage,N/A,BOOLEAN,No,FALSE,Damage Information,No,❌ NO,"Checkbox: No visible damage to other vehicle - Disables textarea when checked - UNMAPPED (missing column)"
21,describe_damage_to_vehicle,Textarea,describe_damage_to_vehicle,damage_description,TEXT,Conditional,NULL,Damage Information,No,✅ YES,"Damage description (max 1000 chars, min 5 required) - Required unless no_visible_damage is checked"
22,vehicle_data,N/A (JS Object),N/A,N/A,JSONB,No,NULL,System,Yes,No (localStorage),"Complete DVLA vehicle data object stored in localStorage - Contains all DVLA fields for restoration"
23,warnings,N/A (JS Array),N/A,N/A,JSONB,No,NULL,System,Yes,No (localStorage),"Array of warning objects (expired MOT, expired tax, insurance unavailable) - Displayed in warnings-container"
24,additional_vehicles,N/A (sessionStorage),N/A,N/A,JSONB,No,NULL,System,Yes,No (sessionStorage),"Array of additional vehicles (vehicle 3, 4, 5+) stored in sessionStorage - For multi-vehicle incidents"
