Field_Number,Field_Name,HTML_Type,Input_Name,Supabase_Table,Supabase_Column,Data_Type,Required,Default_Value,Category,Generated_By_JS,Mapped_To_DB,Notes
1,police_attended,Radio Button,police_attended,incident_reports,did_police_attend,TEXT,Yes,NULL,Police Info,No,⚠️ PARTIAL,"Required field. Maps to did_police_attend in Typeform but uses different field name (police_attended vs did_police_attend)"
2,accident_ref_number,Text Input,accident-ref,incident_reports,accident_reference_number,TEXT,Conditional,NULL,Police Info,No,⚠️ PARTIAL,"Optional field shown only if police_attended='yes'. Maps to accident_reference_number in Typeform but uses different field name (accident_ref_number vs accident_reference_number)"
3,police_force,Text Input,police-force,incident_reports,police_force_details,TEXT,Conditional,NULL,Police Info,No,⚠️ PARTIAL,"Optional field shown only if police_attended='yes'. Maps to police_force_details in Typeform but uses different field name (police_force vs police_force_details)"
4,officer_name,Text Input,officer-name,incident_reports,police_officers_name,TEXT,Conditional,NULL,Police Info,No,⚠️ PARTIAL,"Optional field shown only if police_attended='yes'. Maps to police_officers_name in Typeform but uses different field name (officer_name vs police_officers_name)"
5,officer_badge,Text Input,officer-badge,incident_reports,police_officer_badge_number,TEXT,Conditional,NULL,Police Info,No,⚠️ PARTIAL,"Optional field shown only if police_attended='yes'. Maps to police_officer_badge_number in Typeform but uses different field name (officer_badge vs police_officer_badge_number)"
6,user_breath_test,Select Dropdown,user-breath-test,incident_reports,breath_test,TEXT,Conditional,NULL,Police Info,No,⚠️ PARTIAL,"Optional field shown only if police_attended='yes'. Maps to breath_test in Typeform but uses different field name (user_breath_test vs breath_test). Options: not_tested, negative_0mg, below_limit, at_limit, above_limit, refused, unable"
7,other_breath_test,Select Dropdown,other-breath-test,incident_reports,other_breath_test,TEXT,Conditional,NULL,Police Info,No,✅ YES,"Optional field shown only if police_attended='yes'. Perfect match - same field name in frontend and database. Options: unknown, not_tested, negative_0mg, below_limit, at_limit, above_limit, refused, arrested"
8,airbags_deployed,Radio Button,airbags_deployed,incident_reports,airbags_deployed,TEXT,Yes,NULL,Safety Info,No,✅ YES,"Required field. Perfect match - same field name in frontend and database. Values: yes, no"
9,seatbelts_worn,Radio Button,seatbelts_worn,incident_reports,wearing_seatbelts,TEXT,Yes,NULL,Safety Info,No,⚠️ PARTIAL,"Required field. Maps to wearing_seatbelts in Typeform but uses different field name (seatbelts_worn vs wearing_seatbelts). Values: yes, no"
10,seatbelt_reason,Textarea,seatbelt-reason,incident_reports,reason_no_seatbelts,TEXT,Conditional (if seatbelts_worn='no'),NULL,Safety Info,No,⚠️ PARTIAL,"Required if seatbelts_worn='no'. Minimum 5 chars. Maps to reason_no_seatbelts in Typeform but uses different field name (seatbelt_reason vs reason_no_seatbelts). Max 500 chars with counter"
